3300	0.272
2600	0.269
2500	0.249
2475	0.26
2313	0.273
2175	0.291
600	0.258
460	0.228
240	0.25
200	0.203
177	0.262
140	0.222
117	0.227
115	0.261
2600	0.3
1907	0.225
1190	0.255
990	0.29
925	0.246
365	0.208
302	0.238
300	0.267
129	0.353
111	0.213
6100	0.302
4125	0.26
3213	0.255
2319	0.259
2000	0.223
1600	0.225
1394	0.258
935	0.275
850	0.327
775	0.272
760	0.241
629	0.293
275	0.257
120	0.225
2567	0.196
2500	0.252
2350	0.294
2317	0.297
2000	0.258
715	0.205
660	0.272
650	0.243
260	0.337
250	0.228
200	0.24
180	0.298
180	0.249
5150	0.292
4450	0.265
2000	0.265
1850	0.289
1192	0.295
875	0.27
825	0.246
525	0.288
367	0.273
325	0.239
320	0.244
150	0.275
113	0.34
113	0.25
2425	0.272
2367	0.219
2050	0.24
2000	0.285
1617	0.307
1167	0.24
992	0.264
400	0.227
315	0.305
315	0.28
230	0.251
135	0.216
130	0.243
3150	0.319
2785	0.297
2700	0.251
2400	0.253
1750	0.275
1262	0.32
940	0.259
555	0.275
500	0.249
370	0.188
350	0.241
148	0.242
146	0.251
4350	0.302
2833	0.28
2833	0.256
2750	0.301
1550	0.281
1300	0.234
1000	0.26
750	0.267
430	0.318
260	0.216
120	0.286
1500	0.253
1458	0.295
1210	0.285
935	0.262
800	0.214
395	0.218
350	0.294
285	0.254
139	0.243
133	0.153
4050	0.265
3600	0.235
3333	0.296
2183	0.264
1150	0.294
840	0.287
587	0.278
400	0.222
350	0.248
135	0.268
135	0.214
135	0.195
4075	0.278
3300	0.267
2387	0.317
2100	0.272
1750	0.265
805	0.262
725	0.194
687	0.217
200	0.228
130	0.286
125	0.269
120	0.246
117	0.275
114	0.243
4275	0.301
3563	0.312
2000	0.268
1600	0.262
1533	0.221
940	0.175
850	0.238
650	0.264
360	0.225
150	0.123
145	0.246
140	0.24
109	0.115
109	0.12
3415	0.227
2100	0.323
1300	0.278
1200	0.263
1025	0.26
730	0.216
687	0.233
380	0.204
365	0.23
175	0.243
150	0.233
150	0.278
140	0.269
3050	0.3
2900	0.249
2850	0.229
2700	0.332
2400	0.231
2300	0.251
1650	0.262
1600	0.283
1075	0.258
550	0.225
350	0.263
340	0.295
155	0.26
145	0.457
950	0.262
700	0.243
550	0.224
525	0.217
525	0.288
333	0.243
325	0.258
300	0.209
200	0.284
175	0.282
158	0.249
145	0.264
4500	0.261
3358	0.263
2400	0.248
2200	0.279
2017	0.179
1567	0.284
1050	0.247
375	0.237
355	0.26
300	0.259
230	0.257
150	0.289
120	0.291
109	0.216
3453	0.325
3200	0.26
2530	0.289
2167	0.213
1150	0.286
750	0.283
500	0.244
395	0.311
300	0.206
284	0.265
230	0.238
109	0.364
5300	0.316
3620	0.288
2500	0.268
2167	0.225
2150	0.267
1950	0.247
1300	0.285
360	0.245
280	0.23
255	0.22
147	0.242
125	0.238
109	0.308
3742	0.273
3633	0.252
2983	0.295
2383	0.282
2300	0.262
1375	0.25
1000	0.244
1000	0.234
900	0.216
775	0.25
600	0.243
387	0.256
117	0.275
2700	0.246
2317	0.238
1650	0.296
640	0.263
190	0.258
170	0.2
135	0.211
130	0.203
130	0.293
3650	0.285
3575	0.304
3500	0.268
2500	0.259
1900	0.273
1350	0.241
740	0.284
650	0.246
620	0.318
565	0.274
235	0.241
225	0.165
200	0.281
145	0.251
120	0.217
109	0.225
4200	0.301
3417	0.259
3100	0.255
1650	0.301
1150	0.272
900	0.25
740	0.277
575	0.28
425	0.252
400	0.188
287	0.277
275	0.261
183	0.217
170	0.251
153	0.216
109	0.271
3100	0.284
2992	0.319
2800	0.277
2500	0.311
1933	0.265
1200	0.279
1075	0.31
950	0.286
450	0.303
360	0.281
175	0.286
155	0.283
5000	0.307
3250	0.268
2825	0.201
2600	0.276
2050	0.274
1583	0.295
1150	0.063
1100	0.238
760	0.226
525	0.261
500	0.249
205	0.249
185	0.238
115	0.235
3750	0.256
2188	0.248
2167	0.254
2167	0.194
2050	0.327
1445	0.244
875	0.305
560	0.307
360	0.23
162	0.247
133	0.205
109	0.216
4300	0.266
3850	0.322
2387	0.341
950	0.278
675	0.271
600	0.252
287	0.264
230	0.269
215	0.194
183	0.213
170	0.111
160	0.264
142	0.187
140	0.264
109	0.258
